fold,seed,policy,tau_overlap,tau_dual,tau_rgb_uncertain,margin,AP50,smoke_AP50,fire_AP50,person_AP50,delta_AP50_vs_rgb,dual_acceptance_ratio,n_rgb_boxes,n_dual_boxes,n_output_boxes
fold2,42,GateC,0.5,0.1,0.5,0.05,0.25206711492891004,0.5041328532544787,1.3766033413834038e-06,0,-0.00012600326549833119,0.1522132173517252,39807,79093,51846
fold2,42,GateC,0.5,0.1,0.5,0.1,0.25206711649555724,0.5041328532544787,1.379736635870945e-06,0,-0.00012600169885113033,0.1487236544321242,39807,79093,51570
fold2,42,GateC,0.5,0.1,0.5,0.2,0.2520671409156747,0.5041328532544787,1.4285768707690315e-06,0,-0.00012597727873364661,0.13285625782306903,39807,79093,50315
fold2,42,GateC,0.5,0.1,0.7,0.05,0.25206711492891004,0.5041328532544787,1.3766033413834038e-06,0,-0.00012600326549833119,0.1522132173517252,39807,79093,51846
fold2,42,GateC,0.5,0.1,0.7,0.1,0.25206711649555724,0.5041328532544787,1.379736635870945e-06,0,-0.00012600169885113033,0.1487236544321242,39807,79093,51570
fold2,42,GateC,0.5,0.1,0.7,0.2,0.2520671409156747,0.5041328532544787,1.4285768707690315e-06,0,-0.00012597727873364661,0.13285625782306903,39807,79093,50315
fold2,42,GateC,0.5,0.2,0.3,0.05,0.25214082655578396,0.504279437629335,2.215482232940233e-06,0,-5.229163862441322e-05,0.04015526026323442,39807,79093,42983
fold2,42,GateC,0.5,0.2,0.3,0.1,0.2521408268037117,0.504279437629335,2.215978088408662e-06,0,-5.229139069667932e-05,0.03987710669717927,39807,79093,42961
fold2,42,GateC,0.5,0.2,0.3,0.2,0.2521408280450169,0.504279437629335,2.2184606988594894e-06,0,-5.2290149391454044e-05,0.038119681893467185,39807,79093,42822
fold2,42,GateC,0.5,0.2,0.5,0.05,0.25214082655578396,0.504279437629335,2.215482232940233e-06,0,-5.229163862441322e-05,0.04016790360714602,39807,79093,42984
fold2,42,GateC,0.5,0.2,0.5,0.1,0.2521408268037117,0.504279437629335,2.215978088408662e-06,0,-5.229139069667932e-05,0.03987710669717927,39807,79093,42961
fold2,42,GateC,0.5,0.2,0.5,0.2,0.2521408280450169,0.504279437629335,2.2184606988594894e-06,0,-5.2290149391454044e-05,0.038119681893467185,39807,79093,42822
fold2,42,GateC,0.5,0.2,0.7,0.05,0.25214082655578396,0.504279437629335,2.215482232940233e-06,0,-5.229163862441322e-05,0.04016790360714602,39807,79093,42984
fold2,42,GateC,0.5,0.2,0.7,0.1,0.2521408268037117,0.504279437629335,2.215978088408662e-06,0,-5.229139069667932e-05,0.03987710669717927,39807,79093,42961
fold2,42,GateC,0.5,0.2,0.7,0.2,0.2521408280450169,0.504279437629335,2.2184606988594894e-06,0,-5.2290149391454044e-05,0.038119681893467185,39807,79093,42822
fold2,42,GateC,0.5,0.3,0.3,0.05,0.2521926770336198,0.5043816883915273,3.665675712332433e-06,0,-4.4116078856681895e-07,0.007054985902671539,39807,79093,40365
