source,method,fold,seed,tau_overlap,tau_dual,AP50,smoke_AP50,fire_AP50,person_AP50,delta_AP50_vs_rgb,acceptance_ratio,notes
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.2174121551428623,0.0,0.6522364654285869,0.0,0.1455020371068632,0.3535582954791261,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.2049720996754745,0.0,0.6149162990264235,0.0,0.1330619816394754,0.32846636383300887,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.21252145672616377,0.0,0.6375643701784913,0.0,0.14061133869016468,0.3427428077006273,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.21702382793810562,0.0,0.6510714838143169,0.0,0.14511370990210654,0.35031364914557644,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.2172025568365776,0.0,0.6516076705097328,0.0,0.14529243880057852,0.3508544235345014,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.20365241455092487,0.0,0.6109572436527746,0.0,0.1317422965149258,0.3197058187324248,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.21144012390873493,0.0,0.6343203717262048,0.0,0.13953000587273584,0.3338741077222583,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.21559588158277165,0.0,0.646787644748315,0.0,0.1436857635467726,0.34122863941163745,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.21579270650686586,0.0,0.6473781195205975,0.0,0.14388258847086677,0.3417694138005624,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.20262529713332678,0.0,0.6078758913999803,0.0,0.13071517909732772,0.3132165260653256,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.20994839463657547,0.0,0.6298451839097264,0.0,0.13803827660057638,0.327168505299589,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.21429947115263057,0.0,0.6428984134578917,0.0,0.14238935311663148,0.3344148821111832,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.2145895848441128,0.0,0.6437687545323384,0.0,0.14267946680811372,0.33495565650010817,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.20597706969174065,0.0,0.6179312090752219,0.0,0.13406695165574156,0.33246809431105345,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.2133833261777703,0.0,0.6401499785333109,0.0,0.14147320814177122,0.34685269305645683,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.21798174528108774,0.0,0.6539452358432633,0.0,0.14607162724508865,0.354531689379191,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.21820806983646848,0.0,0.6546242095094055,0.0,0.1462979518004694,0.35507246376811596,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.20572679685049944,0.0,0.6171803905514983,0.0,0.13381667881450038,0.3299805321219987,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.21328482274046778,0.0,0.6398544682214033,0.0,0.14137470470446872,0.34425697598961713,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.2177553512811309,0.0,0.6532660538433928,0.0,0.14584523324513182,0.3518278174345663,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.2179985859422304,0.0,0.6539957578266912,0.0,0.1460884679062313,0.35236859182349123,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.20440838357604388,0.0,0.6132251507281317,0.0,0.1324982655400448,0.3212199870214147,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.21221250234030242,0.0,0.6366375070209073,0.0,0.14030238430430336,0.3353882760112481,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.21633390964481372,0.0,0.6490017289344412,0.0,0.14442379160881463,0.3427428077006273,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.21654421740758142,0.0,0.6496326522227442,0.0,0.14463409937158234,0.34328358208955223,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.2034045725785868,0.0,0.6102137177357604,0.0,0.13149445454258774,0.3147306943543154,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.21066245559682725,0.0,0.6319873667904817,0.0,0.13875233756082817,0.32868267358857883,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.21506159745034348,0.0,0.6451847923510304,0.0,0.14315147941434442,0.33592905040017307,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.21532810376162403,0.0,0.6459843112848721,0.0,0.14341798572562497,0.336469824789098,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.20597706969174065,0.0,0.6179312090752219,0.0,0.13406695165574156,0.33246809431105345,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.2133833261777703,0.0,0.6401499785333109,0.0,0.14147320814177122,0.34685269305645683,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.21798174528108774,0.0,0.6539452358432633,0.0,0.14607162724508865,0.354531689379191,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.21820806983646848,0.0,0.6546242095094055,0.0,0.1462979518004694,0.35507246376811596,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.20572679685049944,0.0,0.6171803905514983,0.0,0.13381667881450038,0.3299805321219987,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.21328482274046778,0.0,0.6398544682214033,0.0,0.14137470470446872,0.34425697598961713,R-Fuse rule v1
